id,algorithm,dataset_type,n_features,n_centers,estimated_n_centers,cluster_std,distance_metric,accuracy
30,hc,gaussian,3,3,,2.0,mean,69.0
31,hc,gaussian,3,3,,2.5,min,67.0
31,hc,gaussian,3,3,,2.5,max,87.0
31,hc,gaussian,3,3,,2.5,avg,69.0
31,hc,gaussian,3,3,,2.5,mean,69.0
32,hc,gaussian,3,4,,0.5,min,100.0
32,hc,gaussian,3,4,,0.5,max,100.0
32,hc,gaussian,3,4,,0.5,avg,100.0
32,hc,gaussian,3,4,,0.5,mean,100.0
33,hc,gaussian,3,4,,1.0,min,99.0
33,hc,gaussian,3,4,,1.0,max,99.0
33,hc,gaussian,3,4,,1.0,avg,99.0
33,hc,gaussian,3,4,,1.0,mean,99.0
34,hc,gaussian,3,4,,2.0,min,74.0
34,hc,gaussian,3,4,,2.0,max,91.0
34,hc,gaussian,3,4,,2.0,avg,96.0
34,hc,gaussian,3,4,,2.0,mean,96.0
35,hc,gaussian,3,4,,2.5,min,74.0
35,hc,gaussian,3,4,,2.5,max,88.0
35,hc,gaussian,3,4,,2.5,avg,84.0
35,hc,gaussian,3,4,,2.5,mean,74.0
36,hc,gaussian,3,5,,0.5,min,100.0
36,hc,gaussian,3,5,,0.5,max,100.0
36,hc,gaussian,3,5,,0.5,avg,100.0
36,hc,gaussian,3,5,,0.5,mean,100.0
37,hc,gaussian,3,5,,1.0,min,81.0
37,hc,gaussian,3,5,,1.0,max,99.0
37,hc,gaussian,3,5,,1.0,avg,99.0
37,hc,gaussian,3,5,,1.0,mean,99.0
38,hc,gaussian,3,5,,2.0,min,60.0
38,hc,gaussian,3,5,,2.0,max,80.0
38,hc,gaussian,3,5,,2.0,avg,71.0
38,hc,gaussian,3,5,,2.0,mean,61.0
39,hc,gaussian,3,5,,2.5,min,61.0
39,hc,gaussian,3,5,,2.5,max,78.0
39,hc,gaussian,3,5,,2.5,avg,70.0
39,hc,gaussian,3,5,,2.5,mean,61.0
40,hc,gaussian,3,6,,0.5,min,100.0
40,hc,gaussian,3,6,,0.5,max,100.0
40,hc,gaussian,3,6,,0.5,avg,100.0
40,hc,gaussian,3,6,,0.5,mean,100.0
41,hc,gaussian,3,6,,1.0,min,83.0
41,hc,gaussian,3,6,,1.0,max,93.0
41,hc,gaussian,3,6,,1.0,avg,100.0
41,hc,gaussian,3,6,,1.0,mean,100.0
42,hc,gaussian,3,6,,2.0,min,67.0
42,hc,gaussian,3,6,,2.0,max,87.0
42,hc,gaussian,3,6,,2.0,avg,67.0
42,hc,gaussian,3,6,,2.0,mean,67.0
43,hc,gaussian,3,6,,2.5,min,67.0
43,hc,gaussian,3,6,,2.5,max,77.0
43,hc,gaussian,3,6,,2.5,avg,67.0
43,hc,gaussian,3,6,,2.5,mean,64.0
44,hc,gaussian,3,7,,0.5,min,100.0
44,hc,gaussian,3,7,,0.5,max,100.0
44,hc,gaussian,3,7,,0.5,avg,100.0
44,hc,gaussian,3,7,,0.5,mean,100.0
45,hc,gaussian,3,7,,1.0,min,72.0
45,hc,gaussian,3,7,,1.0,max,98.0
