id,algorithm,dataset_type,n_features,n_centers,estimated_n_centers,cluster_std,distance_metric,accuracy
134,hc,gaussian,7,5,,2.0,max,99.0
134,hc,gaussian,7,5,,2.0,avg,100.0
134,hc,gaussian,7,5,,2.0,mean,100.0
135,hc,gaussian,7,5,,2.5,min,79.0
135,hc,gaussian,7,5,,2.5,max,98.0
135,hc,gaussian,7,5,,2.5,avg,78.0
135,hc,gaussian,7,5,,2.5,mean,78.0
136,hc,gaussian,7,6,,0.5,min,100.0
136,hc,gaussian,7,6,,0.5,max,100.0
136,hc,gaussian,7,6,,0.5,avg,100.0
136,hc,gaussian,7,6,,0.5,mean,100.0
137,hc,gaussian,7,6,,1.0,min,100.0
137,hc,gaussian,7,6,,1.0,max,100.0
137,hc,gaussian,7,6,,1.0,avg,100.0
137,hc,gaussian,7,6,,1.0,mean,100.0
138,hc,gaussian,7,6,,2.0,min,82.0
138,hc,gaussian,7,6,,2.0,max,99.0
138,hc,gaussian,7,6,,2.0,avg,82.0
138,hc,gaussian,7,6,,2.0,mean,84.0
139,hc,gaussian,7,6,,2.5,min,67.0
139,hc,gaussian,7,6,,2.5,max,97.0
139,hc,gaussian,7,6,,2.5,avg,84.0
139,hc,gaussian,7,6,,2.5,mean,84.0
140,hc,gaussian,7,7,,0.5,min,100.0
140,hc,gaussian,7,7,,0.5,max,100.0
140,hc,gaussian,7,7,,0.5,avg,100.0
140,hc,gaussian,7,7,,0.5,mean,100.0
141,hc,gaussian,7,7,,1.0,min,100.0
141,hc,gaussian,7,7,,1.0,max,100.0
141,hc,gaussian,7,7,,1.0,avg,100.0
141,hc,gaussian,7,7,,1.0,mean,100.0
142,hc,gaussian,7,7,,2.0,min,85.0
142,hc,gaussian,7,7,,2.0,max,98.0
142,hc,gaussian,7,7,,2.0,avg,100.0
142,hc,gaussian,7,7,,2.0,mean,85.0
143,hc,gaussian,7,7,,2.5,min,56.00000000000001
143,hc,gaussian,7,7,,2.5,max,78.0
143,hc,gaussian,7,7,,2.5,avg,83.0
143,hc,gaussian,7,7,,2.5,mean,87.0
144,hc,gaussian,8,2,,0.5,min,100.0
144,hc,gaussian,8,2,,0.5,max,100.0
144,hc,gaussian,8,2,,0.5,avg,100.0
144,hc,gaussian,8,2,,0.5,mean,100.0
145,hc,gaussian,8,2,,1.0,min,100.0
145,hc,gaussian,8,2,,1.0,max,100.0
145,hc,gaussian,8,2,,1.0,avg,100.0
145,hc,gaussian,8,2,,1.0,mean,100.0
146,hc,gaussian,8,2,,2.0,min,100.0
146,hc,gaussian,8,2,,2.0,max,100.0
146,hc,gaussian,8,2,,2.0,avg,100.0
146,hc,gaussian,8,2,,2.0,mean,100.0
147,hc,gaussian,8,2,,2.5,min,100.0
147,hc,gaussian,8,2,,2.5,max,100.0
147,hc,gaussian,8,2,,2.5,avg,100.0
147,hc,gaussian,8,2,,2.5,mean,100.0
148,hc,gaussian,8,3,,0.5,min,100.0
148,hc,gaussian,8,3,,0.5,max,100.0
148,hc,gaussian,8,3,,0.5,avg,100.0
148,hc,gaussian,8,3,,0.5,mean,100.0
149,hc,gaussian,8,3,,1.0,min,100.0
149,hc,gaussian,8,3,,1.0,max,100.0
149,hc,gaussian,8,3,,1.0,avg,100.0
149,hc,gaussian,8,3,,1.0,mean,100.0
150,hc,gaussian,8,3,,2.0,min,100.0
150,hc,gaussian,8,3,,2.0,max,100.0
150,hc,gaussian,8,3,,2.0,avg,100.0
150,hc,gaussian,8,3,,2.0,mean,100.0
151,hc,gaussian,8,3,,2.5,min,100.0
151,hc,gaussian,8,3,,2.5,max,100.0
151,hc,gaussian,8,3,,2.5,avg,100.0
151,hc,gaussian,8,3,,2.5,mean,100.0
152,hc,gaussian,8,4,,0.5,min,100.0
152,hc,gaussian,8,4,,0.5,max,100.0
152,hc,gaussian,8,4,,0.5,avg,100.0
152,hc,gaussian,8,4,,0.5,mean,100.0
153,hc,gaussian,8,4,,1.0,min,100.0
153,hc,gaussian,8,4,,1.0,max,100.0
153,hc,gaussian,8,4,,1.0,avg,100.0
153,hc,gaussian,8,4,,1.0,mean,100.0
154,hc,gaussian,8,4,,2.0,min,100.0
154,hc,gaussian,8,4,,2.0,max,100.0
154,hc,gaussian,8,4,,2.0,avg,100.0
154,hc,gaussian,8,4,,2.0,mean,100.0
155,hc,gaussian,8,4,,2.5,min,74.0
155,hc,gaussian,8,4,,2.5,max,98.0
155,hc,gaussian,8,4,,2.5,avg,99.0
155,hc,gaussian,8,4,,2.5,mean,100.0
156,hc,gaussian,8,5,,0.5,min,100.0
156,hc,gaussian,8,5,,0.5,max,100.0
156,hc,gaussian,8,5,,0.5,avg,100.0
156,hc,gaussian,8,5,,0.5,mean,100.0
157,hc,gaussian,8,5,,1.0,min,100.0
157,hc,gaussian,8,5,,1.0,max,100.0
157,hc,gaussian,8,5,,1.0,avg,100.0
157,hc,gaussian,8,5,,1.0,mean,100.0
158,hc,gaussian,8,5,,2.0,min,62.0
158,hc,gaussian,8,5,,2.0,max,99.0
158,hc,gaussian,8,5,,2.0,avg,99.0
158,hc,gaussian,8,5,,2.0,mean,100.0
159,hc,gaussian,8,5,,2.5,min,62.0
159,hc,gaussian,8,5,,2.5,max,98.0
159,hc,gaussian,8,5,,2.5,avg,98.0
159,hc,gaussian,8,5,,2.5,mean,99.0
160,hc,gaussian,8,6,,0.5,min,100.0
160,hc,gaussian,8,6,,0.5,max,100.0
160,hc,gaussian,8,6,,0.5,avg,100.0
160,hc,gaussian,8,6,,0.5,mean,100.0
161,hc,gaussian,8,6,,1.0,min,100.0
161,hc,gaussian,8,6,,1.0,max,100.0
161,hc,gaussian,8,6,,1.0,avg,100.0
161,hc,gaussian,8,6,,1.0,mean,100.0
162,hc,gaussian,8,6,,2.0,min,100.0
162,hc,gaussian,8,6,,2.0,max,100.0
162,hc,gaussian,8,6,,2.0,avg,100.0
162,hc,gaussian,8,6,,2.0,mean,100.0
163,hc,gaussian,8,6,,2.5,min,67.0
163,hc,gaussian,8,6,,2.5,max,98.0
163,hc,gaussian,8,6,,2.5,avg,100.0
163,hc,gaussian,8,6,,2.5,mean,100.0
164,hc,gaussian,8,7,,0.5,min,100.0
164,hc,gaussian,8,7,,0.5,max,100.0
164,hc,gaussian,8,7,,0.5,avg,100.0
164,hc,gaussian,8,7,,0.5,mean,100.0
165,hc,gaussian,8,7,,1.0,min,100.0
165,hc,gaussian,8,7,,1.0,max,100.0
165,hc,gaussian,8,7,,1.0,avg,100.0
165,hc,gaussian,8,7,,1.0,mean,100.0
166,hc,gaussian,8,7,,2.0,min,100.0
166,hc,gaussian,8,7,,2.0,max,100.0
166,hc,gaussian,8,7,,2.0,avg,100.0
166,hc,gaussian,8,7,,2.0,mean,100.0
167,hc,gaussian,8,7,,2.5,min,71.0
167,hc,gaussian,8,7,,2.5,max,97.0
167,hc,gaussian,8,7,,2.5,avg,99.0
167,hc,gaussian,8,7,,2.5,mean,100.0
168,hc,gaussian,9,2,,0.5,min,100.0
168,hc,gaussian,9,2,,0.5,max,100.0
168,hc,gaussian,9,2,,0.5,avg,100.0
168,hc,gaussian,9,2,,0.5,mean,100.0
169,hc,gaussian,9,2,,1.0,min,100.0
169,hc,gaussian,9,2,,1.0,max,100.0
169,hc,gaussian,9,2,,1.0,avg,100.0
169,hc,gaussian,9,2,,1.0,mean,100.0
170,hc,gaussian,9,2,,2.0,min,100.0
170,hc,gaussian,9,2,,2.0,max,100.0
170,hc,gaussian,9,2,,2.0,avg,100.0
170,hc,gaussian,9,2,,2.0,mean,100.0
171,hc,gaussian,9,2,,2.5,min,100.0
171,hc,gaussian,9,2,,2.5,max,100.0
171,hc,gaussian,9,2,,2.5,avg,100.0
171,hc,gaussian,9,2,,2.5,mean,100.0
172,hc,gaussian,9,3,,0.5,min,100.0
172,hc,gaussian,9,3,,0.5,max,100.0
172,hc,gaussian,9,3,,0.5,avg,100.0
172,hc,gaussian,9,3,,0.5,mean,100.0
173,hc,gaussian,9,3,,1.0,min,100.0
173,hc,gaussian,9,3,,1.0,max,100.0
173,hc,gaussian,9,3,,1.0,avg,100.0
173,hc,gaussian,9,3,,1.0,mean,100.0
174,hc,gaussian,9,3,,2.0,min,100.0
174,hc,gaussian,9,3,,2.0,max,100.0
174,hc,gaussian,9,3,,2.0,avg,100.0
174,hc,gaussian,9,3,,2.0,mean,100.0
175,hc,gaussian,9,3,,2.5,min,100.0
175,hc,gaussian,9,3,,2.5,max,100.0
175,hc,gaussian,9,3,,2.5,avg,100.0
175,hc,gaussian,9,3,,2.5,mean,100.0
176,hc,gaussian,9,4,,0.5,min,100.0
176,hc,gaussian,9,4,,0.5,max,100.0
176,hc,gaussian,9,4,,0.5,avg,100.0
176,hc,gaussian,9,4,,0.5,mean,100.0
177,hc,gaussian,9,4,,1.0,min,100.0
177,hc,gaussian,9,4,,1.0,max,100.0
177,hc,gaussian,9,4,,1.0,avg,100.0
177,hc,gaussian,9,4,,1.0,mean,100.0
178,hc,gaussian,9,4,,2.0,min,100.0
178,hc,gaussian,9,4,,2.0,max,100.0
178,hc,gaussian,9,4,,2.0,avg,100.0
178,hc,gaussian,9,4,,2.0,mean,100.0
179,hc,gaussian,9,4,,2.5,min,100.0
179,hc,gaussian,9,4,,2.5,max,100.0
179,hc,gaussian,9,4,,2.5,avg,100.0
179,hc,gaussian,9,4,,2.5,mean,100.0
180,hc,gaussian,9,5,,0.5,min,100.0
180,hc,gaussian,9,5,,0.5,max,100.0
180,hc,gaussian,9,5,,0.5,avg,100.0
180,hc,gaussian,9,5,,0.5,mean,100.0
181,hc,gaussian,9,5,,1.0,min,100.0
181,hc,gaussian,9,5,,1.0,max,100.0
181,hc,gaussian,9,5,,1.0,avg,100.0
181,hc,gaussian,9,5,,1.0,mean,100.0
182,hc,gaussian,9,5,,2.0,min,79.0
182,hc,gaussian,9,5,,2.0,max,98.0
182,hc,gaussian,9,5,,2.0,avg,100.0
182,hc,gaussian,9,5,,2.0,mean,100.0
183,hc,gaussian,9,5,,2.5,min,79.0
183,hc,gaussian,9,5,,2.5,max,98.0
183,hc,gaussian,9,5,,2.5,avg,100.0
183,hc,gaussian,9,5,,2.5,mean,79.0
184,hc,gaussian,9,6,,0.5,min,100.0
184,hc,gaussian,9,6,,0.5,max,100.0
184,hc,gaussian,9,6,,0.5,avg,100.0
184,hc,gaussian,9,6,,0.5,mean,100.0
185,hc,gaussian,9,6,,1.0,min,100.0
185,hc,gaussian,9,6,,1.0,max,100.0
185,hc,gaussian,9,6,,1.0,avg,100.0
185,hc,gaussian,9,6,,1.0,mean,100.0
186,hc,gaussian,9,6,,2.0,min,83.0
186,hc,gaussian,9,6,,2.0,max,100.0
186,hc,gaussian,9,6,,2.0,avg,100.0
186,hc,gaussian,9,6,,2.0,mean,100.0
187,hc,gaussian,9,6,,2.5,min,83.0
187,hc,gaussian,9,6,,2.5,max,100.0
187,hc,gaussian,9,6,,2.5,avg,99.0
187,hc,gaussian,9,6,,2.5,mean,100.0
188,hc,gaussian,9,7,,0.5,min,100.0
188,hc,gaussian,9,7,,0.5,max,100.0
188,hc,gaussian,9,7,,0.5,avg,100.0
188,hc,gaussian,9,7,,0.5,mean,100.0
189,hc,gaussian,9,7,,1.0,min,100.0
189,hc,gaussian,9,7,,1.0,max,100.0
189,hc,gaussian,9,7,,1.0,avg,100.0
189,hc,gaussian,9,7,,1.0,mean,100.0
190,hc,gaussian,9,7,,2.0,min,87.0
190,hc,gaussian,9,7,,2.0,max,100.0
190,hc,gaussian,9,7,,2.0,avg,100.0
190,hc,gaussian,9,7,,2.0,mean,100.0
191,hc,gaussian,9,7,,2.5,min,87.0
191,hc,gaussian,9,7,,2.5,max,100.0
191,hc,gaussian,9,7,,2.5,avg,100.0
191,hc,gaussian,9,7,,2.5,mean,100.0
192,hc,gaussian,10,2,,0.5,min,100.0
192,hc,gaussian,10,2,,0.5,max,100.0
192,hc,gaussian,10,2,,0.5,avg,100.0
192,hc,gaussian,10,2,,0.5,mean,100.0
193,hc,gaussian,10,2,,1.0,min,100.0
193,hc,gaussian,10,2,,1.0,max,100.0
193,hc,gaussian,10,2,,1.0,avg,100.0
193,hc,gaussian,10,2,,1.0,mean,100.0
194,hc,gaussian,10,2,,2.0,min,100.0
194,hc,gaussian,10,2,,2.0,max,100.0
194,hc,gaussian,10,2,,2.0,avg,100.0
194,hc,gaussian,10,2,,2.0,mean,100.0
195,hc,gaussian,10,2,,2.5,min,100.0
195,hc,gaussian,10,2,,2.5,max,100.0
195,hc,gaussian,10,2,,2.5,avg,100.0
195,hc,gaussian,10,2,,2.5,mean,100.0
196,hc,gaussian,10,3,,0.5,min,100.0
196,hc,gaussian,10,3,,0.5,max,100.0
196,hc,gaussian,10,3,,0.5,avg,100.0
196,hc,gaussian,10,3,,0.5,mean,100.0
197,hc,gaussian,10,3,,1.0,min,100.0
197,hc,gaussian,10,3,,1.0,max,100.0
197,hc,gaussian,10,3,,1.0,avg,100.0
197,hc,gaussian,10,3,,1.0,mean,100.0
198,hc,gaussian,10,3,,2.0,min,100.0
198,hc,gaussian,10,3,,2.0,max,100.0
198,hc,gaussian,10,3,,2.0,avg,100.0
198,hc,gaussian,10,3,,2.0,mean,100.0
199,hc,gaussian,10,3,,2.5,min,68.0
199,hc,gaussian,10,3,,2.5,max,100.0
199,hc,gaussian,10,3,,2.5,avg,100.0
199,hc,gaussian,10,3,,2.5,mean,100.0
200,hc,gaussian,10,4,,0.5,min,100.0
200,hc,gaussian,10,4,,0.5,max,100.0
200,hc,gaussian,10,4,,0.5,avg,100.0
200,hc,gaussian,10,4,,0.5,mean,100.0
201,hc,gaussian,10,4,,1.0,min,100.0
201,hc,gaussian,10,4,,1.0,max,100.0
201,hc,gaussian,10,4,,1.0,avg,100.0
201,hc,gaussian,10,4,,1.0,mean,100.0
202,hc,gaussian,10,4,,2.0,min,100.0
202,hc,gaussian,10,4,,2.0,max,100.0
202,hc,gaussian,10,4,,2.0,avg,100.0
202,hc,gaussian,10,4,,2.0,mean,100.0
203,hc,gaussian,10,4,,2.5,min,100.0
203,hc,gaussian,10,4,,2.5,max,100.0
203,hc,gaussian,10,4,,2.5,avg,100.0
203,hc,gaussian,10,4,,2.5,mean,100.0
204,hc,gaussian,10,5,,0.5,min,100.0
204,hc,gaussian,10,5,,0.5,max,100.0
204,hc,gaussian,10,5,,0.5,avg,100.0
204,hc,gaussian,10,5,,0.5,mean,100.0
205,hc,gaussian,10,5,,1.0,min,100.0
205,hc,gaussian,10,5,,1.0,max,100.0
205,hc,gaussian,10,5,,1.0,avg,100.0
205,hc,gaussian,10,5,,1.0,mean,100.0
206,hc,gaussian,10,5,,2.0,min,100.0
206,hc,gaussian,10,5,,2.0,max,100.0
206,hc,gaussian,10,5,,2.0,avg,100.0
206,hc,gaussian,10,5,,2.0,mean,100.0
207,hc,gaussian,10,5,,2.5,min,100.0
207,hc,gaussian,10,5,,2.5,max,100.0
207,hc,gaussian,10,5,,2.5,avg,100.0
207,hc,gaussian,10,5,,2.5,mean,100.0
208,hc,gaussian,10,6,,0.5,min,100.0
208,hc,gaussian,10,6,,0.5,max,100.0
208,hc,gaussian,10,6,,0.5,avg,100.0
208,hc,gaussian,10,6,,0.5,mean,100.0
209,hc,gaussian,10,6,,1.0,min,100.0
209,hc,gaussian,10,6,,1.0,max,100.0
209,hc,gaussian,10,6,,1.0,avg,100.0
209,hc,gaussian,10,6,,1.0,mean,100.0
210,hc,gaussian,10,6,,2.0,min,100.0
210,hc,gaussian,10,6,,2.0,max,100.0
210,hc,gaussian,10,6,,2.0,avg,100.0
210,hc,gaussian,10,6,,2.0,mean,100.0
211,hc,gaussian,10,6,,2.5,min,82.0
211,hc,gaussian,10,6,,2.5,max,99.0
211,hc,gaussian,10,6,,2.5,avg,99.0
211,hc,gaussian,10,6,,2.5,mean,100.0
212,hc,gaussian,10,7,,0.5,min,100.0
212,hc,gaussian,10,7,,0.5,max,100.0
212,hc,gaussian,10,7,,0.5,avg,100.0
212,hc,gaussian,10,7,,0.5,mean,100.0
213,hc,gaussian,10,7,,1.0,min,100.0
213,hc,gaussian,10,7,,1.0,max,100.0
213,hc,gaussian,10,7,,1.0,avg,100.0
213,hc,gaussian,10,7,,1.0,mean,100.0
214,hc,gaussian,10,7,,2.0,min,100.0
214,hc,gaussian,10,7,,2.0,max,100.0
214,hc,gaussian,10,7,,2.0,avg,100.0
214,hc,gaussian,10,7,,2.0,mean,100.0
215,hc,gaussian,10,7,,2.5,min,86.0
215,hc,gaussian,10,7,,2.5,max,100.0
215,hc,gaussian,10,7,,2.5,avg,100.0
215,hc,gaussian,10,7,,2.5,mean,100.0
216,hc,iris,4,3,,,min,66.0
216,hc,iris,4,3,,,max,78.66666666666666
216,hc,iris,4,3,,,avg,68.66666666666667
216,hc,iris,4,3,,,mean,68.66666666666667
217,hc,wine,13,3,,,min,37.640449438202246
217,hc,wine,13,3,,,max,83.70786516853933
217,hc,wine,13,3,,,avg,38.764044943820224
217,hc,wine,13,3,,,mean,37.640449438202246
218,hc,breast_cancer,30,2,,,min,63.09314586994728
218,hc,breast_cancer,30,2,,,max,63.09314586994728
218,hc,breast_cancer,30,2,,,avg,63.2688927943761
218,hc,breast_cancer,30,2,,,mean,62.56590509666081
