id,algorithm,dataset_type,n_features,n_centers,estimated_n_centers,cluster_std,init_method,accuracy
23,gmm,gaussian,2,7,,2.5,stratified,64.3
24,gmm,gaussian,3,2,,0.5,random,100
24,gmm,gaussian,3,2,,0.5,kmeans++,100
24,gmm,gaussian,3,2,,0.5,hcm,100
24,gmm,gaussian,3,2,,0.5,uniform,100
24,gmm,gaussian,3,2,,0.5,stratified,100
25,gmm,gaussian,3,2,,1,random,100
25,gmm,gaussian,3,2,,1,kmeans++,100
25,gmm,gaussian,3,2,,1,hcm,100
25,gmm,gaussian,3,2,,1,uniform,100
25,gmm,gaussian,3,2,,1,stratified,100
26,gmm,gaussian,3,2,,2,random,100
26,gmm,gaussian,3,2,,2,kmeans++,100
26,gmm,gaussian,3,2,,2,hcm,100
26,gmm,gaussian,3,2,,2,uniform,100
26,gmm,gaussian,3,2,,2,stratified,100
27,gmm,gaussian,3,2,,2.5,random,100
27,gmm,gaussian,3,2,,2.5,kmeans++,100
27,gmm,gaussian,3,2,,2.5,hcm,100
27,gmm,gaussian,3,2,,2.5,uniform,100
27,gmm,gaussian,3,2,,2.5,stratified,100
28,gmm,gaussian,3,3,,0.5,random,100
28,gmm,gaussian,3,3,,0.5,kmeans++,100
28,gmm,gaussian,3,3,,0.5,hcm,100
28,gmm,gaussian,3,3,,0.5,uniform,100
28,gmm,gaussian,3,3,,0.5,stratified,65.4
29,gmm,gaussian,3,3,,1,random,100
29,gmm,gaussian,3,3,,1,kmeans++,100
29,gmm,gaussian,3,3,,1,hcm,100
29,gmm,gaussian,3,3,,1,uniform,100
29,gmm,gaussian,3,3,,1,stratified,100
30,gmm,gaussian,3,3,,2,random,97.3
30,gmm,gaussian,3,3,,2,kmeans++,51
30,gmm,gaussian,3,3,,2,hcm,97.4
30,gmm,gaussian,3,3,,2,uniform,97.3
30,gmm,gaussian,3,3,,2,stratified,97.3
31,gmm,gaussian,3,3,,2.5,random,94.5
31,gmm,gaussian,3,3,,2.5,kmeans++,94.9
31,gmm,gaussian,3,3,,2.5,hcm,94.8
31,gmm,gaussian,3,3,,2.5,uniform,94.8
31,gmm,gaussian,3,3,,2.5,stratified,94.1
32,gmm,gaussian,3,4,,0.5,random,74.5
32,gmm,gaussian,3,4,,0.5,kmeans++,100
32,gmm,gaussian,3,4,,0.5,hcm,100
32,gmm,gaussian,3,4,,0.5,uniform,100
32,gmm,gaussian,3,4,,0.5,stratified,73.2
33,gmm,gaussian,3,4,,1,random,63.8
33,gmm,gaussian,3,4,,1,kmeans++,100
33,gmm,gaussian,3,4,,1,hcm,100
33,gmm,gaussian,3,4,,1,uniform,100
33,gmm,gaussian,3,4,,1,stratified,74.6
34,gmm,gaussian,3,4,,2,random,65.5
34,gmm,gaussian,3,4,,2,kmeans++,98.2
34,gmm,gaussian,3,4,,2,hcm,98.3
34,gmm,gaussian,3,4,,2,uniform,98.3
34,gmm,gaussian,3,4,,2,stratified,73.2
35,gmm,gaussian,3,4,,2.5,random,65.6
35,gmm,gaussian,3,4,,2.5,kmeans++,95.6
35,gmm,gaussian,3,4,,2.5,hcm,95.5
35,gmm,gaussian,3,4,,2.5,uniform,95.6
35,gmm,gaussian,3,4,,2.5,stratified,63
36,gmm,gaussian,3,5,,0.5,random,72.9
36,gmm,gaussian,3,5,,0.5,kmeans++,100
36,gmm,gaussian,3,5,,0.5,hcm,100
36,gmm,gaussian,3,5,,0.5,uniform,100
36,gmm,gaussian,3,5,,0.5,stratified,62.8
37,gmm,gaussian,3,5,,1,random,77.2
37,gmm,gaussian,3,5,,1,kmeans++,99.8
37,gmm,gaussian,3,5,,1,hcm,99.8
37,gmm,gaussian,3,5,,1,uniform,99.8
37,gmm,gaussian,3,5,,1,stratified,73
38,gmm,gaussian,3,5,,2,random,75.6
38,gmm,gaussian,3,5,,2,kmeans++,92
38,gmm,gaussian,3,5,,2,hcm,92
38,gmm,gaussian,3,5,,2,uniform,85.4
38,gmm,gaussian,3,5,,2,stratified,91.8
39,gmm,gaussian,3,5,,2.5,random,72.9
39,gmm,gaussian,3,5,,2.5,kmeans++,87.8
39,gmm,gaussian,3,5,,2.5,hcm,83.3
39,gmm,gaussian,3,5,,2.5,uniform,81.5
39,gmm,gaussian,3,5,,2.5,stratified,87.7
40,gmm,gaussian,3,6,,0.5,random,57.2
40,gmm,gaussian,3,6,,0.5,kmeans++,100
40,gmm,gaussian,3,6,,0.5,hcm,100
40,gmm,gaussian,3,6,,0.5,uniform,100
40,gmm,gaussian,3,6,,0.5,stratified,81.9
41,gmm,gaussian,3,6,,1,random,56.2
41,gmm,gaussian,3,6,,1,kmeans++,78
41,gmm,gaussian,3,6,,1,hcm,99.6
41,gmm,gaussian,3,6,,1,uniform,99.6
41,gmm,gaussian,3,6,,1,stratified,99.6
42,gmm,gaussian,3,6,,2,random,59.2
42,gmm,gaussian,3,6,,2,kmeans++,94.5
42,gmm,gaussian,3,6,,2,hcm,87.5
42,gmm,gaussian,3,6,,2,uniform,82.8
42,gmm,gaussian,3,6,,2,stratified,68.6
43,gmm,gaussian,3,6,,2.5,random,72.4
43,gmm,gaussian,3,6,,2.5,kmeans++,90.8
43,gmm,gaussian,3,6,,2.5,hcm,91
43,gmm,gaussian,3,6,,2.5,uniform,82.2
43,gmm,gaussian,3,6,,2.5,stratified,73.4
44,gmm,gaussian,3,7,,0.5,random,79
44,gmm,gaussian,3,7,,0.5,kmeans++,100
44,gmm,gaussian,3,7,,0.5,hcm,100
