id,algorithm,dataset_type,n_features,n_centers,estimated_n_centers,cluster_std,init_method,accuracy
16,uofc,gaussian,2,6,7.0,0.5,,91.60000000000001
16,gmm,gaussian,2,6,,0.5,random,76.8
16,gmm,gaussian,2,6,,0.5,kmeans++,99.6
16,gmm,gaussian,2,6,,0.5,hcm,99.6
16,gmm,gaussian,2,6,,0.5,uniform,99.6
16,gmm,gaussian,2,6,,0.5,stratified,81.89999999999999
16,hc,gaussian,2,6,,0.5,,83.5
17,uofc,gaussian,2,6,7.0,1.0,,86.7
17,gmm,gaussian,2,6,,1.0,random,76.2
17,gmm,gaussian,2,6,,1.0,kmeans++,74.9
17,gmm,gaussian,2,6,,1.0,hcm,93.8
17,gmm,gaussian,2,6,,1.0,uniform,84.89999999999999
17,gmm,gaussian,2,6,,1.0,stratified,77.8
17,hc,gaussian,2,6,,1.0,,66.7
18,uofc,gaussian,2,6,4.0,2.0,,65.60000000000001
18,gmm,gaussian,2,6,,2.0,random,64.9
18,gmm,gaussian,2,6,,2.0,kmeans++,63.800000000000004
18,gmm,gaussian,2,6,,2.0,hcm,76.1
18,gmm,gaussian,2,6,,2.0,uniform,65.2
18,gmm,gaussian,2,6,,2.0,stratified,67.2
18,hc,gaussian,2,6,,2.0,,33.800000000000004
19,uofc,gaussian,2,6,4.0,2.5,,63.7
19,gmm,gaussian,2,6,,2.5,random,60.8
19,gmm,gaussian,2,6,,2.5,kmeans++,66.5
19,gmm,gaussian,2,6,,2.5,hcm,66.5
19,gmm,gaussian,2,6,,2.5,uniform,60.3
19,gmm,gaussian,2,6,,2.5,stratified,57.8
19,hc,gaussian,2,6,,2.5,,33.5
20,uofc,gaussian,2,7,10.0,0.5,,79.4
20,gmm,gaussian,2,7,,0.5,random,81.8
20,gmm,gaussian,2,7,,0.5,kmeans++,100.0
20,gmm,gaussian,2,7,,0.5,hcm,100.0
20,gmm,gaussian,2,7,,0.5,uniform,85.39999999999999
20,gmm,gaussian,2,7,,0.5,stratified,85.3
20,hc,gaussian,2,7,,0.5,,85.6
21,uofc,gaussian,2,7,6.0,1.0,,84.8
21,gmm,gaussian,2,7,,1.0,random,74.0
21,gmm,gaussian,2,7,,1.0,kmeans++,93.0
21,gmm,gaussian,2,7,,1.0,hcm,94.3
21,gmm,gaussian,2,7,,1.0,uniform,84.6
21,gmm,gaussian,2,7,,1.0,stratified,83.2
21,hc,gaussian,2,7,,1.0,,71.1
22,uofc,gaussian,2,7,5.0,2.0,,69.69999999999999
22,gmm,gaussian,2,7,,2.0,random,54.900000000000006
22,gmm,gaussian,2,7,,2.0,kmeans++,76.8
22,gmm,gaussian,2,7,,2.0,hcm,78.7
